timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex
1678405864.6585834,0x201,0,1,0,0,8,04F9,FFED,FF90
1678405864.6593351,0x201,0,1,0,0,8,04F8,FFF1,FF90
1678405864.6606066,0x201,0,1,0,0,8,04F6,FFF5,FF8F
1678405864.6613128,0x201,0,1,0,0,8,04F5,FFF1,FF8E
1678405864.6626112,0x201,0,1,0,0,8,04F5,FFF8,FF8F
1678405864.663374,0x201,0,1,0,0,8,04F4,FFFC,FF8F
1678405864.6643329,0x201,0,1,0,0,8,04F4,FFFC,FF4F
1678405864.6655958,0x201,0,1,0,0,8,04F5,0000,FF90
1678405864.666344,0x201,0,1,0,0,8,04F5,0000,FF4F
1678405864.6671555,0x201,0,1,0,0,8,04F5,0000,FF4F
1678405864.6685603,0x201,0,1,0,0,8,04F5,0000,FF0F
1678405864.6693087,0x201,0,1,0,0,8,04F6,0003,FF0F
1678405864.6702392,0x201,0,1,0,0,8,04F6,0003,FF11
1678405864.67112,0x201,0,1,0,0,8,04F6,0000,FF0F
1678405864.672419,0x201,0,1,0,0,8,04F4,FFFC,FF0F
1678405864.6731637,0x201,0,1,0,0,8,04F3,FFF5,FF0F
1678405864.674442,0x201,0,1,0,0,8,04F0,FFED,FECE
1678405864.6751976,0x201,0,1,0,0,8,04ED,FFED,FF4C
1678405864.6761835,0x201,0,1,0,0,8,04EB,FFEA,FF4C
1678405864.677491,0x201,0,1,0,0,8,04E9,FFED,FF4B
1678405864.6782815,0x201,0,1,0,0,8,04E7,FFF1,FF4A
1678405864.679127,0x201,0,1,0,0,8,04E6,FFF1,FF4A
1678405864.6803799,0x201,0,1,0,0,8,04E4,FFF5,FF8D
1678405864.6811817,0x201,0,1,0,0,8,04E4,FFF5,FF4A
1678405864.682103,0x201,0,1,0,0,8,04E4,FFFC,FF8D
1678405864.6833677,0x201,0,1,0,0,8,04E6,0003,FF4A
1678405864.6841028,0x201,0,1,0,0,8,04E8,000A,FF50
1678405864.685067,0x201,0,1,0,0,8,04E9,0003,FF8D
1678405864.6863265,0x201,0,1,0,0,8,04EA,0003,FF0E
1678405864.6870937,0x201,0,1,0,0,8,04EA,0007,FEC8
1678405864.6880279,0x201,0,1,0,0,8,04EA,0003,FEC8
1678405864.689293,0x201,0,1,0,0,8,04EA,0000,FEC8
1678405864.6900635,0x201,0,1,0,0,8,04E8,FFF8,FECB
1678405864.691023,0x201,0,1,0,0,8,04E4,FFED,FEC4
1678405864.6922846,0x201,0,1,0,0,8,04DF,FFE6,FE7D
1678405864.6930735,0x201,0,1,0,0,8,04DD,FFDF,FF48
1678405864.6939323,0x201,0,1,0,0,8,04D9,FFE2,FF46
1678405864.6951914,0x201,0,1,0,0,8,04D5,FFE2,FF46
1678405864.6959805,0x201,0,1,0,0,8,04D3,FFE6,FF45
1678405864.6971169,0x201,0,1,0,0,8,04D0,FFEA,FF44
1678405864.698025,0x201,0,1,0,0,8,04CE,FFED,FF44
1678405864.6988795,0x201,0,1,0,0,8,04CD,FFF1,FF35
1678405864.7001562,0x201,0,1,0,0,8,04CD,FFF8,FF35
1678405864.7009041,0x201,0,1,0,0,8,04CF,0000,FF45
1678405864.7021835,0x201,0,1,0,0,8,04CE,0003,FF36
1678405864.7029524,0x201,0,1,0,0,8,04D1,0007,FF37
1678405864.703881,0x201,0,1,0,0,8,04D1,0007,FE74
1678405864.7051506,0x201,0,1,0,0,8,04D2,0003,FE74
1678405864.7059305,0x201,0,1,0,0,8,04D2,0000,FEBA
1678405864.7069461,0x201,0,1,0,0,8,04D1,0000,FE74
1678405864.7077992,0x201,0,1,0,0,8,04CF,FFF5,FE2D
1678405864.709083,0x201,0,1,0,0,8,04C9,FFE6,FE6F
1678405864.7098618,0x201,0,1,0,0,8,04C2,FFDF,FE12
1678405864.7108018,0x201,0,1,0,0,8,04BC,FFCC,FF2D
1678405864.7120445,0x201,0,1,0,0,8,04B4,FFCC,FF28
1678405864.712784,0x201,0,1,0,0,8,04AF,FFCC,FF26
1678405864.7140632,0x201,0,1,0,0,8,04A4,FFC9,FF04
1678405864.714826,0x201,0,1,0,0,8,049D,FFC1,FEFF
1678405864.715724,0x201,0,1,0,0,8,0493,FFBE,FF44
1678405864.7170196,0x201,0,1,0,0,8,0485,FFB3,FF85
1678405864.7177927,0x201,0,1,0,0,8,047A,FFA8,FF7F
1678405864.7187557,0x201,0,1,0,0,8,046C,FF9D,FF7A
1678405864.7200096,0x201,0,1,0,0,8,045C,FF95,FF74
1678405864.7207627,0x201,0,1,0,0,8,0448,FF83,FF6E
1678405864.7220492,0x201,0,1,0,0,8,0434,FF74,FF2B
1678405864.722836,0x201,0,1,0,0,8,041A,FF66,FF67
1678405864.7236793,0x201,0,1,0,0,8,0407,FF5B,FF32
1678405864.7249177,0x201,0,1,0,0,8,03E9,FF50,FF6A
1678405864.7256875,0x201,0,1,0,0,8,03D4,FF48,FF6E
1678405864.7270079,0x201,0,1,0,0,8,03B4,FF41,FF94
1678405864.7278018,0x201,0,1,0,0,8,0398,FF3A,FF4E
1678405864.728665,0x201,0,1,0,0,8,0382,FF36,FF5D
1678405864.7299187,0x201,0,1,0,0,8,0369,FF36,FF5D
1678405864.73067,0x201,0,1,0,0,8,034E,FF3D,FF98
1678405864.7316403,0x201,0,1,0,0,8,0337,FF48,FF98
1678405864.7329023,0x201,0,1,0,0,8,031A,FF4C,FF4F
1678405864.733678,0x201,0,1,0,0,8,0306,FF50,FF97
1678405864.734544,0x201,0,1,0,0,8,02F1,FF53,FF71
1678405864.7357883,0x201,0,1,0,0,8,02D8,FF57,FF6F
1678405864.736601,0x201,0,1,0,0,8,02C7,FF5E,FF65
1678405864.7374814,0x201,0,1,0,0,8,02B5,FF69,FF71
